@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,1845,246,0.882353,1,0.026899,1,0.973101,0.052388,0.885154,1.129747,0
51,0,1844,247,0.881875,1,0.026913,1,0.973087,0.052415,0.884687,1.130343,0
51,0,1843,248,0.881396,1,0.026927,1,0.973073,0.052442,0.88422,1.13094,0
51,0,1842,249,0.880918,1,0.026941,1,0.973059,0.052469,0.883754,1.131537,0
51,0,1841,250,0.88044,1,0.026956,1,0.973044,0.052496,0.883287,1.132135,0
51,0,1840,251,0.879962,1,0.02697,1,0.97303,0.052523,0.88282,1.132734,0
51,0,1839,252,0.879484,1,0.026984,1,0.973016,0.05255,0.882353,1.133333,0
51,0,1838,253,0.879005,1,0.026998,1,0.973002,0.052577,0.881886,1.133933,0
51,0,1837,254,0.878527,1,0.027013,1,0.972987,0.052604,0.881419,1.134534,0
51,0,1836,255,0.878049,1,0.027027,1,0.972973,0.052632,0.880952,1.135135,0
51,0,1835,256,0.877571,1,0.027041,1,0.972959,0.052659,0.880486,1.135737,0
51,0,1834,257,0.877092,1,0.027056,1,0.972944,0.052686,0.880019,1.13634,0
51,0,1833,258,0.876614,1,0.02707,1,0.97293,0.052713,0.879552,1.136943,0
51,0,1832,259,0.876136,1,0.027084,1,0.972916,0.05274,0.879085,1.137546,0
51,0,1831,260,0.875658,1,0.027099,1,0.972901,0.052768,0.878618,1.138151,0
51,0,1830,261,0.875179,1,0.027113,1,0.972887,0.052795,0.878151,1.138756,0
51,0,1829,262,0.874701,1,0.027128,1,0.972872,0.052822,0.877684,1.139362,0
51,0,1828,263,0.874223,1,0.027142,1,0.972858,0.05285,0.877218,1.139968,0
51,0,1827,264,0.873745,1,0.027157,1,0.972843,0.052877,0.876751,1.140575,0
51,0,1826,265,0.873266,1,0.027171,1,0.972829,0.052905,0.876284,1.141183,0
